USGS-TX|nwistx.01.01401065|USGS-08065350|2014-03-11|2013|2019|2|USGS-08057410;USGS-08067000|Q1|37|USGS-TX|USGS-08067000|nwistx.01.01601892|2016-02-24|10.00|14.70|298.00|7.70
USGS-TX|nwistx.01.01401065|USGS-08065350|2014-03-11|2014|2015|3|USGS-08057410;USGS-08067000;USGS-08067252|Q1|27|USGS-TX|USGS-08067252|nwistx.01.01501364|2015-01-23|10.20|11.00|307.00|7.60
USGS-TX|nwistx.01.01401515|USGS-08065350|2014-05-20|2013|2019|2|USGS-08057410;USGS-08067000|Q2|61|USGS-TX|USGS-08067000|nwistx.01.01301339|2013-04-24|10.40|21.00|390.00|8.80
USGS-TX|nwistx.01.01401515|USGS-08065350|2014-05-20|2014|2015|3|USGS-08057410;USGS-08067000;USGS-08067252|Q2|31|USGS-TX|USGS-08067000|nwistx.01.01401146|2014-04-02|10.60|19.90|362.00|8.90
USGS-TX|nwistx.01.01500574|USGS-08065350|2014-10-30|2013|2019|2|USGS-08057410;USGS-08067000|Q4|39|USGS-TX|USGS-08057410|nwistx.01.01900065|2018-11-15|10.20|12.80|382.00|7.70
USGS-TX|nwistx.01.01500574|USGS-08065350|2014-10-30|2014|2015|3|USGS-08057410;USGS-08067000;USGS-08067252|Q4|17|USGS-TX|USGS-08067252|nwistx.01.01501023|2014-12-12|10.00|16.30|419.00|8.00
USGS-TX|nwistx.01.01601150|USGS-08067000|2015-12-02|2002|2007|2|USGS-08057410;USGS-08065350|Q4|21|USGS-TX|USGS-08057410|nwistx.01.00500305|2004-12-07|10.10|14.40|419.00|7.60
USGS-TX|nwistx.01.01601150|USGS-08067000|2015-12-02|2014|2014|4|USGS-08057410;USGS-08065350;USGS-08067000;USGS-08067252|Q4|12|USGS-TX|USGS-08067252|nwistx.01.01501023|2014-12-12|10.00|16.30|419.00|8.00
USGS-TX|nwistx.01.01900498|USGS-08067000|2019-02-13|2002|2007|2|USGS-08057410;USGS-08065350|Q1|24|USGS-TX|USGS-08057410|nwistx.01.00200270|2002-01-09|10.00|13.60|735.00|7.60
USGS-TX|nwistx.01.01900498|USGS-08067000|2019-02-13|2013|2018|2|USGS-08057410;USGS-08067000|Q1|34|USGS-TX|USGS-08067000|nwistx.01.01601892|2016-02-24|10.00|14.70|298.00|7.70
USGS-TX|nwistx.01.01900498|USGS-08067000|2019-02-13|2014|2014|4|USGS-08057410;USGS-08065350;USGS-08067000;USGS-08067252|Q1|11|USGS-TX|USGS-08057410|nwistx.01.01400864|2014-02-04|10.50|12.10|597.00|7.50
USGS-TX|nwistx.01.01900498|USGS-08067000|2019-02-13|2014|2015|3|USGS-08057410;USGS-08067000;USGS-08067252|Q1|27|USGS-TX|USGS-08067252|nwistx.01.01501364|2015-01-23|10.20|11.00|307.00|7.60
