drug1,drug2,class,mechanism
dr:D02567,cpd:C06807,P,unclassified
dr:D02567,dr:D00020,P,unclassified
dr:D02567,dr:D00076,P,unclassified
dr:D02567,dr:D00095,P,unclassified
dr:D02567,dr:D00109,P,unclassified
dr:D02567,dr:D00118,P,unclassified
dr:D02567,dr:D00120,P,unclassified
dr:D02567,dr:D00126,P,unclassified
dr:D02567,dr:D00127,P,unclassified
dr:D02567,dr:D00130,P,unclassified
dr:D02567,dr:D00132,P,unclassified
dr:D02567,dr:D00136,P,Enzyme: CYP2D6 CYP3A4 / CYP inhibition: CYP2D6
dr:D02567,dr:D00141,P,unclassified
dr:D02567,dr:D00151,P,unclassified
dr:D02567,dr:D00158,P,unclassified
dr:D02567,dr:D00169,P,unclassified
dr:D02567,dr:D00199,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6
dr:D02567,dr:D00211,P,CYP induction: CYP3A4
dr:D02567,dr:D00228,P,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6
dr:D02567,dr:D00235,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6
dr:D02567,dr:D00252,P,Enzyme: CYP3A4 / CYP induction: CYP3A4
dr:D02567,dr:D00255,P,Enzyme: CYP2D6 CYP3A4 / CYP inhibition: CYP2D6
dr:D02567,dr:D00270,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6
dr:D02567,dr:D00283,P,Enzyme: CYP3A4
dr:D02567,dr:D00292,P,Enzyme: CYP3A4 / CYP induction: CYP3A4
dr:D02567,dr:D00293,P,Enzyme: CYP2C19 CYP3A4
dr:D02567,dr:D00295,P,CYP inhibition: CYP2D6 CYP3A4
dr:D02567,dr:D00298,P,unclassified
dr:D02567,dr:D00303,P,Enzyme: CYP3A4
dr:D02567,dr:D00308,P,unclassified
dr:D02567,dr:D00311,P,unclassified
dr:D02567,dr:D00315,P,unclassified
dr:D02567,dr:D00320,P,Enzyme: CYP3A4
dr:D02567,dr:D00326,P,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2C19 CYP2D6
dr:D02567,dr:D00330,P,unclassified
dr:D02567,dr:D00346,CI,unclassified
dr:D02567,dr:D00355,P,Enzyme: CYP2C19 CYP3A4 / CYP inhibition: CYP2C19
dr:D02567,dr:D00358,P,Enzyme: CYP3A4
dr:D02567,dr:D00373,P,unclassified
dr:D02567,dr:D00377,P,unclassified
dr:D02567,dr:D00378,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6
dr:D02567,dr:D00390,P,unclassified
dr:D02567,dr:D00394,P,Target: SLC6A4
dr:D02567,dr:D00403,P,unclassified
dr:D02567,dr:D00415,P,unclassified
dr:D02567,dr:D00420,P,unclassified
dr:D02567,dr:D00425,P,unclassified
dr:D02567,dr:D00426,P,Enzyme: CYP2D6 CYP3A4 / CYP inhibition: CYP2D6
dr:D02567,dr:D00428,P,unclassified
dr:D02567,dr:D00432,P,unclassified
dr:D02567,dr:D00435,P,Enzyme: CYP3A4 CYP2D6 / CYP inhibition: CYP2D6
dr:D02567,dr:D00448,P,unclassified
dr:D02567,dr:D00451,P,unclassified
dr:D02567,dr:D00452,P,unclassified
dr:D02567,dr:D00454,P,unclassified
dr:D02567,dr:D00455,P,Enzyme: CYP2C19
dr:D02567,dr:D00458,P,Enzyme: CYP3A4
dr:D02567,dr:D00463,P,unclassified
dr:D02567,dr:D00477,P,unclassified
dr:D02567,dr:D00479,P,unclassified
dr:D02567,dr:D00483,P,Enzyme: CYP2D6 CYP2C19 / CYP inhibition: CYP2D6
dr:D02567,dr:D00484,P,Target: SLC6A4
dr:D02567,dr:D00493,P,unclassified
dr:D02567,dr:D00503,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6
dr:D02567,dr:D00505,CI,unclassified
dr:D02567,dr:D00506,P,unclassified
dr:D02567,dr:D00510,P,unclassified
dr:D02567,dr:D00512,P,unclassified
dr:D02567,dr:D00513,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6
dr:D02567,dr:D00550,P,Enzyme: CYP3A4
dr:D02567,dr:D00556,P,unclassified
dr:D02567,dr:D00560,CI,Enzyme: CYP3A4
dr:D02567,dr:D00563,P,Enzyme: CYP2D6 CYP3A4 / CYP inhibition: CYP2D6
dr:D02567,dr:D00566,P,unclassified
