drug1,drug2,class,mechanism
dr:D00346,cpd:C00304,P,unclassified
dr:D00346,cpd:C00483,P,unclassified
dr:D00346,cpd:C07055,P,unclassified
dr:D00346,cpd:C07506,P,unclassified
dr:D00346,cpd:C07811,P,unclassified
dr:D00346,cpd:C07814,P,unclassified
dr:D00346,cpd:C07818,P,unclassified
dr:D00346,cpd:C07849,P,unclassified
dr:D00346,cpd:C07861,P,unclassified
dr:D00346,cpd:C12768,P,unclassified
dr:D00346,dr:D00032,P,unclassified
dr:D00346,dr:D00058,P,unclassified
dr:D00346,dr:D00059,P,unclassified
dr:D00346,dr:D00076,P,unclassified
dr:D00346,dr:D00085,P,unclassified
dr:D00346,dr:D00095,P,unclassified
dr:D00346,dr:D00113,P,unclassified
dr:D00346,dr:D00124,P,unclassified
dr:D00346,dr:D00131,P,unclassified
dr:D00346,dr:D00135,P,unclassified
dr:D00346,dr:D00138,P,unclassified
dr:D00346,dr:D00144,P,unclassified
dr:D00346,dr:D00147,P,unclassified
dr:D00346,dr:D00162,P,unclassified
dr:D00346,dr:D00184,P,unclassified
dr:D00346,dr:D00197,P,unclassified
dr:D00346,dr:D00198,P,unclassified
dr:D00346,dr:D00211,P,unclassified
dr:D00346,dr:D00216,P,unclassified
dr:D00346,dr:D00217,P,unclassified
dr:D00346,dr:D00219,P,unclassified
dr:D00346,dr:D00225,P,unclassified
dr:D00346,dr:D00228,"CI,P",unclassified
dr:D00346,dr:D00232,P,unclassified
dr:D00346,dr:D00252,P,unclassified
dr:D00346,dr:D00253,P,unclassified
dr:D00346,dr:D00265,P,unclassified
dr:D00346,dr:D00267,P,unclassified
dr:D00346,dr:D00270,P,unclassified
dr:D00346,dr:D00271,P,unclassified
dr:D00346,dr:D00280,P,unclassified
dr:D00346,dr:D00281,P,unclassified
dr:D00346,dr:D00283,P,unclassified
dr:D00346,dr:D00293,P,unclassified
dr:D00346,dr:D00294,P,unclassified
dr:D00346,dr:D00304,P,unclassified
dr:D00346,dr:D00308,P,unclassified
dr:D00346,dr:D00311,P,unclassified
dr:D00346,dr:D00320,P,unclassified
dr:D00346,dr:D00335,P,unclassified
dr:D00346,dr:D00336,P,unclassified
dr:D00346,dr:D00346,P,unclassified
dr:D00346,dr:D00350,P,unclassified
dr:D00346,dr:D00354,P,unclassified
dr:D00346,dr:D00365,P,unclassified
dr:D00346,dr:D00367,CI,unclassified
dr:D00346,dr:D00375,P,unclassified
dr:D00346,dr:D00379,P,unclassified
