drug1,drug2,class,mechanism
dr:D08392,dr:D00076,P,unclassified
dr:D08392,dr:D00095,P,unclassified
dr:D08392,dr:D00216,P,unclassified
dr:D08392,dr:D00225,P,unclassified
dr:D08392,dr:D00228,CI,unclassified
dr:D08392,dr:D00265,P,unclassified
dr:D08392,dr:D00267,P,unclassified
dr:D08392,dr:D00280,P,unclassified
dr:D08392,dr:D00283,P,unclassified
dr:D08392,dr:D00293,P,unclassified
dr:D08392,dr:D00308,P,unclassified
dr:D08392,dr:D00311,P,unclassified
dr:D08392,dr:D00320,P,unclassified
dr:D08392,dr:D00336,P,unclassified
dr:D08392,dr:D00365,P,unclassified
dr:D08392,dr:D00367,CI,unclassified
dr:D08392,dr:D00387,P,unclassified
dr:D08392,dr:D00388,P,unclassified
dr:D08392,dr:D00402,P,unclassified
dr:D08392,dr:D00415,CI,Enzyme-Target: MAOA
dr:D08392,dr:D00451,CI,Enzyme-Target: MAOA
dr:D08392,dr:D00457,P,unclassified
dr:D08392,dr:D00474,P,unclassified
dr:D08392,dr:D00481,P,unclassified
dr:D08392,dr:D00506,P,unclassified
dr:D08392,dr:D00511,P,unclassified
dr:D08392,dr:D00520,CI,unclassified
dr:D08392,dr:D00531,P,unclassified
dr:D08392,dr:D00550,P,unclassified
dr:D08392,dr:D00563,CI,unclassified
dr:D08392,dr:D00593,P,unclassified
dr:D08392,dr:D00594,P,unclassified
dr:D08392,dr:D00625,P,unclassified
dr:D08392,dr:D00633,P,unclassified
dr:D08392,dr:D00665,P,unclassified
dr:D08392,dr:D00666,P,unclassified
dr:D08392,dr:D00668,P,unclassified
dr:D08392,dr:D00669,P,unclassified
dr:D08392,dr:D00672,P,unclassified
dr:D08392,dr:D00675,CI,unclassified
dr:D08392,dr:D00676,CI,Enzyme-Target: MAOA
dr:D08392,dr:D00677,P,unclassified
dr:D08392,dr:D00678,P,unclassified
dr:D08392,dr:D00694,P,unclassified
dr:D08392,dr:D00701,P,unclassified
dr:D08392,dr:D00713,P,unclassified
dr:D08392,dr:D00714,P,unclassified
dr:D08392,dr:D00720,P,unclassified
dr:D08392,dr:D00722,P,unclassified
dr:D08392,dr:D00744,P,unclassified
dr:D08392,dr:D00765,P,unclassified
dr:D08392,dr:D00770,P,unclassified
dr:D08392,dr:D00785,CI,unclassified
dr:D08392,dr:D00787,P,unclassified
dr:D08392,dr:D00809,CI,unclassified
dr:D08392,dr:D00811,CI,unclassified
dr:D08392,dr:D00815,CI,unclassified
dr:D08392,dr:D00816,CI,unclassified
dr:D08392,dr:D00818,CI,unclassified
dr:D08392,dr:D00820,P,unclassified
dr:D08392,dr:D00821,CI,unclassified
dr:D08392,dr:D00824,CI,unclassified
dr:D08392,dr:D00825,CI,unclassified
dr:D08392,dr:D00836,P,unclassified
dr:D08392,dr:D00839,P,unclassified
dr:D08392,dr:D00842,P,unclassified
dr:D08392,dr:D00944,P,unclassified
dr:D08392,dr:D00945,P,unclassified
dr:D08392,dr:D00947,P,unclassified
dr:D08392,dr:D01007,P,unclassified
dr:D08392,dr:D01008,CI,unclassified
dr:D08392,dr:D01021,CI,unclassified
dr:D08392,dr:D01022,P,unclassified
dr:D08392,dr:D01096,P,unclassified
dr:D08392,dr:D01107,CI,unclassified
dr:D08392,dr:D01111,P,unclassified
dr:D08392,dr:D01165,P,unclassified
dr:D08392,dr:D01179,CI,unclassified
dr:D08392,dr:D01226,P,unclassified
dr:D08392,dr:D01230,P,unclassified
dr:D08392,dr:D01245,P,unclassified
dr:D08392,dr:D01253,P,unclassified
dr:D08392,dr:D01268,P,unclassified
dr:D08392,dr:D01269,P,unclassified
dr:D08392,dr:D01277,P,unclassified
dr:D08392,dr:D01278,P,unclassified
dr:D08392,dr:D01280,P,unclassified
dr:D08392,dr:D01292,P,unclassified
dr:D08392,dr:D01293,P,unclassified
dr:D08392,dr:D01296,CI,unclassified
dr:D08392,dr:D01302,P,unclassified
dr:D08392,dr:D01324,P,unclassified
dr:D08392,dr:D01328,P,unclassified
dr:D08392,dr:D01347,CI,unclassified
dr:D08392,dr:D01355,CI,unclassified
dr:D08392,dr:D01358,CI,unclassified
dr:D08392,dr:D01383,CI,unclassified
dr:D08392,dr:D01386,P,unclassified
dr:D08392,dr:D01389,P,unclassified
dr:D08392,dr:D01399,P,unclassified
dr:D08392,dr:D01408,P,unclassified
dr:D08392,dr:D01451,P,unclassified
dr:D08392,dr:D01453,P,unclassified
dr:D08392,dr:D01481,P,unclassified
dr:D08392,dr:D01514,P,unclassified
dr:D08392,dr:D01564,P,unclassified
dr:D08392,dr:D01599,P,unclassified
dr:D08392,dr:D01657,P,unclassified
dr:D08392,dr:D01665,P,unclassified
dr:D08392,dr:D01744,P,unclassified
dr:D08392,dr:D01832,P,unclassified
