drug1,drug2,class,mechanism
dr:D00825,cpd:C06807,P,unclassified
dr:D00825,dr:D00020,P,unclassified
dr:D00825,dr:D00076,P,unclassified
dr:D00825,dr:D00095,P,unclassified
dr:D00825,dr:D00109,P,unclassified
dr:D00825,dr:D00118,P,unclassified
dr:D00825,dr:D00120,P,unclassified
dr:D00825,dr:D00126,P,Enzyme: CYP2C9
dr:D00825,dr:D00127,P,Enzyme: CYP2C9
dr:D00825,dr:D00130,P,unclassified
dr:D00825,dr:D00132,P,unclassified
dr:D00825,dr:D00141,P,unclassified
dr:D00825,dr:D00151,P,Enzyme: CYP2C9
dr:D00825,dr:D00158,P,unclassified
dr:D00825,dr:D00169,P,unclassified
dr:D00825,dr:D00211,P,CYP induction: CYP3A4
dr:D00825,dr:D00216,P,unclassified
dr:D00825,dr:D00219,P,unclassified
dr:D00825,dr:D00228,P,Target: SLC6A4
dr:D00825,dr:D00252,P,Enzyme: CYP3A4 / CYP induction: CYP3A4
dr:D00825,dr:D00255,P,Enzyme: CYP2C9 CYP3A4
dr:D00825,dr:D00270,P,unclassified
dr:D00825,dr:D00271,P,unclassified
dr:D00825,dr:D00283,P,Enzyme: CYP3A4
dr:D00825,dr:D00292,P,Enzyme: CYP3A4 / CYP induction: CYP3A4
dr:D00825,dr:D00293,P,Enzyme: CYP2C19 CYP3A4
dr:D00825,dr:D00295,P,CYP inhibition: CYP3A4
dr:D00825,dr:D00311,P,unclassified
dr:D00825,dr:D00315,P,unclassified
dr:D00825,dr:D00320,P,Enzyme: CYP3A4
dr:D00825,dr:D00330,P,Enzyme: CYP2C9
dr:D00825,dr:D00335,P,unclassified
dr:D00825,dr:D00336,P,Enzyme: CYP2C9 CYP3A4
dr:D00825,dr:D00346,CI,unclassified
dr:D00825,dr:D00373,P,unclassified
dr:D00825,dr:D00377,P,unclassified
dr:D00825,dr:D00379,P,unclassified
dr:D00825,dr:D00380,P,unclassified
dr:D00825,dr:D00390,P,unclassified
dr:D00825,dr:D00394,P,Target: SLC6A4
dr:D00825,dr:D00395,P,unclassified
dr:D00825,dr:D00403,P,unclassified
dr:D00825,dr:D00415,P,unclassified
dr:D00825,dr:D00420,P,unclassified
dr:D00825,dr:D00425,P,unclassified
dr:D00825,dr:D00426,P,Enzyme: CYP3A4
dr:D00825,dr:D00428,P,unclassified
dr:D00825,dr:D00435,P,Enzyme: CYP3A4 CYP2B6
dr:D00825,dr:D00448,P,unclassified
dr:D00825,dr:D00451,P,unclassified
dr:D00825,dr:D00452,P,Enzyme: CYP2C9
dr:D00825,dr:D00454,P,unclassified
dr:D00825,dr:D00458,P,Enzyme: CYP3A4
dr:D00825,dr:D00463,P,unclassified
dr:D00825,dr:D00479,P,unclassified
dr:D00825,dr:D00484,P,Target: SLC6A4
dr:D00825,dr:D00493,P,unclassified
dr:D00825,dr:D00498,P,unclassified
dr:D00825,dr:D00503,P,unclassified
