drug1,drug2,class,mechanism
dr:D02562,cpd:C00220,P,unclassified
dr:D02562,dr:D00059,P,unclassified
dr:D02562,dr:D00076,P,unclassified
dr:D02562,dr:D00095,P,unclassified
dr:D02562,dr:D00124,P,unclassified
dr:D02562,dr:D00131,P,CYP inhibition: CYP1A2
dr:D02562,dr:D00186,P,CYP inhibition: CYP1A2
dr:D02562,dr:D00210,P,Enzyme: CYP1A2 / CYP inhibition: CYP1A2
dr:D02562,dr:D00211,P,unclassified
dr:D02562,dr:D00216,P,unclassified
dr:D02562,dr:D00224,P,CYP inhibition: CYP1A2
dr:D02562,dr:D00225,P,unclassified
dr:D02562,dr:D00228,CI,unclassified
dr:D02562,dr:D00252,P,unclassified
dr:D02562,dr:D00253,P,unclassified
dr:D02562,dr:D00265,P,unclassified
dr:D02562,dr:D00267,P,unclassified
dr:D02562,dr:D00280,P,unclassified
dr:D02562,dr:D00281,P,unclassified
dr:D02562,dr:D00283,P,Enzyme: CYP1A2
dr:D02562,dr:D00293,P,unclassified
dr:D02562,dr:D00308,P,unclassified
dr:D02562,dr:D00310,P,CYP inhibition: CYP1A2
dr:D02562,dr:D00311,P,unclassified
dr:D02562,dr:D00318,P,CYP inhibition: CYP1A2
dr:D02562,dr:D00320,P,unclassified
dr:D02562,dr:D00326,CI,unclassified
dr:D02562,dr:D00336,P,unclassified
dr:D02562,dr:D00346,CI,unclassified
dr:D02562,dr:D00365,P,unclassified
dr:D02562,dr:D00367,CI,unclassified
dr:D02562,dr:D00387,P,unclassified
dr:D02562,dr:D00388,P,unclassified
dr:D02562,dr:D00394,CI,unclassified
dr:D02562,dr:D00402,P,unclassified
dr:D02562,dr:D00405,P,unclassified
dr:D02562,dr:D00415,CI,Enzyme: CYP1A2
dr:D02562,dr:D00427,P,CYP induction: CYP1A2
dr:D02562,dr:D00451,CI,unclassified
dr:D02562,dr:D00457,P,unclassified
dr:D02562,dr:D00474,P,unclassified
dr:D02562,dr:D00481,P,unclassified
dr:D02562,dr:D00484,CI,unclassified
dr:D02562,dr:D00485,P,unclassified
dr:D02562,dr:D00505,CI,Target: MAOB
dr:D02562,dr:D00506,P,unclassified
dr:D02562,dr:D00511,P,unclassified
dr:D02562,dr:D00512,P,unclassified
dr:D02562,dr:D00514,P,unclassified
dr:D02562,dr:D00520,CI,unclassified
dr:D02562,dr:D00531,P,unclassified
dr:D02562,dr:D00550,P,unclassified
dr:D02562,dr:D00559,P,unclassified
dr:D02562,dr:D00563,CI,Enzyme: CYP1A2
dr:D02562,dr:D00593,P,unclassified
dr:D02562,dr:D00594,P,unclassified
dr:D02562,dr:D00604,P,unclassified
dr:D02562,dr:D00606,P,unclassified
dr:D02562,dr:D00607,P,unclassified
dr:D02562,dr:D00625,P,unclassified
dr:D02562,dr:D00632,P,unclassified
dr:D02562,dr:D00633,P,Enzyme-Target: MAOB
dr:D02562,dr:D00636,P,unclassified
dr:D02562,dr:D00665,P,unclassified
dr:D02562,dr:D00666,P,unclassified
dr:D02562,dr:D00668,P,unclassified
dr:D02562,dr:D00669,P,unclassified
dr:D02562,dr:D00672,P,unclassified
dr:D02562,dr:D00675,CI,unclassified
dr:D02562,dr:D00676,CI,unclassified
dr:D02562,dr:D00677,P,unclassified
dr:D02562,dr:D00678,P,Enzyme: CYP1A2
dr:D02562,dr:D00683,P,unclassified
dr:D02562,dr:D00684,P,unclassified
dr:D02562,dr:D00685,P,unclassified
dr:D02562,dr:D00686,P,unclassified
dr:D02562,dr:D00687,P,unclassified
dr:D02562,dr:D00688,P,unclassified
dr:D02562,dr:D00694,P,unclassified
dr:D02562,dr:D00701,P,unclassified
dr:D02562,dr:D00707,P,CYP inhibition: CYP1A2
dr:D02562,dr:D00713,P,unclassified
dr:D02562,dr:D00714,P,unclassified
dr:D02562,dr:D00720,P,unclassified
dr:D02562,dr:D00722,P,unclassified
dr:D02562,dr:D00743,P,unclassified
dr:D02562,dr:D00744,P,unclassified
dr:D02562,dr:D00756,P,unclassified
dr:D02562,dr:D00765,P,unclassified
dr:D02562,dr:D00770,P,unclassified
dr:D02562,dr:D00776,P,Enzyme: CYP1A2
dr:D02562,dr:D00777,P,unclassified
dr:D02562,dr:D00780,P,unclassified
dr:D02562,dr:D00781,P,unclassified
dr:D02562,dr:D00784,P,Enzyme: CYP1A2
