drug1,drug2,class,mechanism
dr:D10158,dr:D00059,P,unclassified
dr:D10158,dr:D00076,P,unclassified
dr:D10158,dr:D00095,P,unclassified
dr:D10158,dr:D00211,P,unclassified
dr:D10158,dr:D00216,P,unclassified
dr:D10158,dr:D00225,P,unclassified
dr:D10158,dr:D00228,CI,unclassified
dr:D10158,dr:D00252,P,unclassified
dr:D10158,dr:D00253,P,unclassified
dr:D10158,dr:D00265,P,unclassified
dr:D10158,dr:D00267,P,unclassified
dr:D10158,dr:D00280,P,unclassified
dr:D10158,dr:D00283,P,unclassified
dr:D10158,dr:D00292,P,unclassified
dr:D10158,dr:D00293,P,unclassified
dr:D10158,dr:D00308,P,unclassified
dr:D10158,dr:D00311,P,unclassified
dr:D10158,dr:D00320,P,unclassified
dr:D10158,dr:D00336,P,unclassified
dr:D10158,dr:D00365,P,unclassified
dr:D10158,dr:D00367,CI,unclassified
dr:D10158,dr:D00387,P,unclassified
dr:D10158,dr:D00388,P,unclassified
dr:D10158,dr:D00402,P,unclassified
dr:D10158,dr:D00405,P,unclassified
dr:D10158,dr:D00415,CI,Enzyme: MAOA
dr:D10158,dr:D00420,P,unclassified
dr:D10158,dr:D00435,P,unclassified
dr:D10158,dr:D00451,CI,Enzyme: MAOA
dr:D10158,dr:D00457,P,unclassified
dr:D10158,dr:D00474,P,unclassified
dr:D10158,dr:D00481,P,unclassified
dr:D10158,dr:D00506,P,unclassified
dr:D10158,dr:D00511,P,unclassified
dr:D10158,dr:D00512,P,unclassified
dr:D10158,dr:D00520,CI,unclassified
dr:D10158,dr:D00531,P,unclassified
dr:D10158,dr:D00550,P,unclassified
dr:D10158,dr:D00559,P,unclassified
dr:D10158,dr:D00563,CI,unclassified
dr:D10158,dr:D00593,P,unclassified
dr:D10158,dr:D00594,P,unclassified
dr:D10158,dr:D00619,P,unclassified
dr:D10158,dr:D00625,P,unclassified
dr:D10158,dr:D00633,P,Enzyme-Target: MAOB
dr:D10158,dr:D00636,P,unclassified
dr:D10158,dr:D00665,P,unclassified
dr:D10158,dr:D00666,P,unclassified
dr:D10158,dr:D00668,P,unclassified
dr:D10158,dr:D00669,P,unclassified
dr:D10158,dr:D00672,P,unclassified
dr:D10158,dr:D00675,CI,unclassified
dr:D10158,dr:D00676,CI,Enzyme: MAOA
dr:D10158,dr:D00677,P,unclassified
dr:D10158,dr:D00678,P,unclassified
dr:D10158,dr:D00694,P,unclassified
dr:D10158,dr:D00701,P,unclassified
dr:D10158,dr:D00713,P,unclassified
dr:D10158,dr:D00714,P,unclassified
dr:D10158,dr:D00720,P,unclassified
dr:D10158,dr:D00722,P,unclassified
dr:D10158,dr:D00744,P,unclassified
dr:D10158,dr:D00765,P,unclassified
dr:D10158,dr:D00770,P,unclassified
dr:D10158,dr:D00777,P,unclassified
dr:D10158,dr:D00780,P,unclassified
dr:D10158,dr:D00781,P,unclassified
dr:D10158,dr:D00784,P,unclassified
dr:D10158,dr:D00785,CI,Target: MAOB
dr:D10158,dr:D00787,P,unclassified
dr:D10158,dr:D00809,CI,unclassified
dr:D10158,dr:D00811,CI,unclassified
dr:D10158,dr:D00815,CI,unclassified
dr:D10158,dr:D00816,CI,unclassified
dr:D10158,dr:D00818,CI,unclassified
dr:D10158,dr:D00820,P,unclassified
dr:D10158,dr:D00821,CI,unclassified
dr:D10158,dr:D00824,CI,unclassified
