drug1,drug2,class,mechanism
dr:D02564,dr:D00059,P,unclassified
dr:D02564,dr:D00076,P,unclassified
dr:D02564,dr:D00095,P,unclassified
dr:D02564,dr:D00118,P,unclassified
dr:D02564,dr:D00151,P,unclassified
dr:D02564,dr:D00211,P,unclassified
dr:D02564,dr:D00216,P,unclassified
dr:D02564,dr:D00218,P,unclassified
dr:D02564,dr:D00225,P,unclassified
dr:D02564,dr:D00228,"CI,P",unclassified
dr:D02564,dr:D00241,P,unclassified
dr:D02564,dr:D00253,P,unclassified
dr:D02564,dr:D00265,P,unclassified
dr:D02564,dr:D00267,P,unclassified
dr:D02564,dr:D00280,P,unclassified
dr:D02564,dr:D00283,P,unclassified
dr:D02564,dr:D00292,P,unclassified
dr:D02564,dr:D00293,P,unclassified
dr:D02564,dr:D00294,P,unclassified
dr:D02564,dr:D00302,P,unclassified
dr:D02564,dr:D00308,P,unclassified
dr:D02564,dr:D00311,P,unclassified
dr:D02564,dr:D00319,P,unclassified
dr:D02564,dr:D00320,P,unclassified
dr:D02564,dr:D00331,P,unclassified
dr:D02564,dr:D00336,P,unclassified
dr:D02564,dr:D00346,P,unclassified
dr:D02564,dr:D00365,P,unclassified
dr:D02564,dr:D00367,CI,unclassified
dr:D02564,dr:D00382,P,unclassified
dr:D02564,dr:D00383,P,unclassified
dr:D02564,dr:D00387,P,unclassified
dr:D02564,dr:D00388,P,unclassified
dr:D02564,dr:D00402,P,unclassified
dr:D02564,dr:D00405,P,unclassified
dr:D02564,dr:D00415,CI,Enzyme-Target: MAOA
dr:D02564,dr:D00426,P,unclassified
dr:D02564,dr:D00432,P,unclassified
dr:D02564,dr:D00437,P,unclassified
dr:D02564,dr:D00443,P,unclassified
dr:D02564,dr:D00451,CI,Enzyme-Target: MAOA
dr:D02564,dr:D00457,P,unclassified
dr:D02564,dr:D00474,P,unclassified
dr:D02564,dr:D00479,P,unclassified
dr:D02564,dr:D00480,P,unclassified
dr:D02564,dr:D00481,P,unclassified
dr:D02564,dr:D00503,P,unclassified
dr:D02564,dr:D00506,P,unclassified
dr:D02564,dr:D00511,P,unclassified
dr:D02564,dr:D00515,P,unclassified
dr:D02564,dr:D00520,CI,unclassified
dr:D02564,dr:D00531,P,unclassified
dr:D02564,dr:D00547,P,unclassified
dr:D02564,dr:D00549,P,unclassified
dr:D02564,dr:D00550,P,unclassified
dr:D02564,dr:D00563,CI,unclassified
dr:D02564,dr:D00593,P,unclassified
dr:D02564,dr:D00594,P,unclassified
dr:D02564,dr:D00599,P,unclassified
dr:D02564,dr:D00608,P,unclassified
dr:D02564,dr:D00609,P,unclassified
dr:D02564,dr:D00616,P,unclassified
dr:D02564,dr:D00617,P,unclassified
dr:D02564,dr:D00619,P,unclassified
dr:D02564,dr:D00625,P,unclassified
dr:D02564,dr:D00629,P,unclassified
dr:D02564,dr:D00633,P,Enzyme-Target: MAOB
dr:D02564,dr:D00634,P,unclassified
dr:D02564,dr:D00658,P,unclassified
dr:D02564,dr:D00665,P,unclassified
dr:D02564,dr:D00666,P,unclassified
dr:D02564,dr:D00668,P,unclassified
dr:D02564,dr:D00669,P,unclassified
dr:D02564,dr:D00672,P,unclassified
dr:D02564,dr:D00675,CI,unclassified
dr:D02564,dr:D00676,CI,Enzyme-Target: MAOA
dr:D02564,dr:D00677,P,unclassified
dr:D02564,dr:D00678,P,unclassified
dr:D02564,dr:D00694,P,unclassified
dr:D02564,dr:D00701,P,unclassified
dr:D02564,dr:D00713,P,unclassified
dr:D02564,dr:D00714,P,unclassified
dr:D02564,dr:D00720,P,unclassified
dr:D02564,dr:D00722,P,unclassified
dr:D02564,dr:D00744,P,unclassified
dr:D02564,dr:D00762,P,unclassified
dr:D02564,dr:D00765,P,unclassified
dr:D02564,dr:D00770,P,unclassified
dr:D02564,dr:D00776,P,unclassified
dr:D02564,dr:D00785,CI,Target: MAOB
dr:D02564,dr:D00787,P,unclassified
dr:D02564,dr:D00789,P,unclassified
dr:D02564,dr:D00793,P,unclassified
dr:D02564,dr:D00809,"CI,P",unclassified
dr:D02564,dr:D00811,"CI,P",unclassified
dr:D02564,dr:D00815,"CI,P",unclassified
dr:D02564,dr:D00816,CI,unclassified
dr:D02564,dr:D00818,CI,unclassified
dr:D02564,dr:D00820,P,unclassified
dr:D02564,dr:D00821,CI,unclassified
dr:D02564,dr:D00824,CI,unclassified
dr:D02564,dr:D00825,CI,unclassified
dr:D02564,dr:D00836,P,unclassified
dr:D02564,dr:D00839,P,unclassified
dr:D02564,dr:D00842,P,unclassified
dr:D02564,dr:D00904,P,unclassified
dr:D02564,dr:D00944,P,unclassified
dr:D02564,dr:D00945,P,unclassified
dr:D02564,dr:D00947,P,unclassified
dr:D02564,dr:D00969,P,unclassified
dr:D02564,dr:D00975,P,unclassified
dr:D02564,dr:D00987,P,unclassified
dr:D02564,dr:D01007,P,unclassified
dr:D02564,dr:D01008,CI,unclassified
dr:D02564,dr:D01021,CI,unclassified
dr:D02564,dr:D01022,P,unclassified
dr:D02564,dr:D01024,P,unclassified
dr:D02564,dr:D01096,P,unclassified
dr:D02564,dr:D01104,P,unclassified
dr:D02564,dr:D01107,"CI,P",unclassified
dr:D02564,dr:D01111,P,unclassified
dr:D02564,dr:D01145,P,unclassified
dr:D02564,dr:D01164,P,unclassified
dr:D02564,dr:D01165,P,unclassified
dr:D02564,dr:D01176,P,unclassified
dr:D02564,dr:D01179,"CI,P",unclassified
dr:D02564,dr:D01196,P,unclassified
dr:D02564,dr:D01226,P,unclassified
dr:D02564,dr:D01230,P,unclassified
dr:D02564,dr:D01240,P,unclassified
dr:D02564,dr:D01245,P,unclassified
dr:D02564,dr:D01253,P,unclassified
dr:D02564,dr:D01268,P,unclassified
dr:D02564,dr:D01269,P,unclassified
dr:D02564,dr:D01277,P,unclassified
dr:D02564,dr:D01278,P,unclassified
dr:D02564,dr:D01280,P,unclassified
dr:D02564,dr:D01292,P,unclassified
dr:D02564,dr:D01293,P,unclassified
dr:D02564,dr:D01296,CI,unclassified
dr:D02564,dr:D01302,P,unclassified
dr:D02564,dr:D01321,P,unclassified
dr:D02564,dr:D01323,P,unclassified
dr:D02564,dr:D01324,P,unclassified
dr:D02564,dr:D01328,P,unclassified
dr:D02564,dr:D01333,P,unclassified
dr:D02564,dr:D01347,CI,unclassified
dr:D02564,dr:D01355,CI,unclassified
dr:D02564,dr:D01358,"CI,P",unclassified
dr:D02564,dr:D01383,CI,unclassified
dr:D02564,dr:D01386,P,unclassified
dr:D02564,dr:D01389,P,unclassified
dr:D02564,dr:D01399,P,unclassified
dr:D02564,dr:D01408,P,unclassified
dr:D02564,dr:D01451,P,unclassified
dr:D02564,dr:D01453,P,unclassified
dr:D02564,dr:D01469,P,unclassified
dr:D02564,dr:D01481,P,unclassified
dr:D02564,dr:D01485,P,unclassified
dr:D02564,dr:D01514,P,unclassified
dr:D02564,dr:D01549,P,unclassified
dr:D02564,dr:D01553,P,unclassified
dr:D02564,dr:D01564,P,unclassified
dr:D02564,dr:D01599,P,unclassified
