drug1,drug2,class,mechanism
dr:D07984,dr:D00076,P,unclassified
dr:D07984,dr:D00095,P,unclassified
dr:D07984,dr:D00109,P,unclassified
dr:D07984,dr:D00126,P,unclassified
dr:D07984,dr:D00132,P,unclassified
dr:D07984,dr:D00136,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6 CYP3A4
dr:D07984,dr:D00184,P,CYP inhibition: CYP3A4
dr:D07984,dr:D00228,P,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6
dr:D07984,dr:D00246,P,CYP inhibition: CYP3A4
dr:D07984,dr:D00252,P,CYP inhibition: CYP3A4
dr:D07984,dr:D00255,P,Enzyme: CYP2D6 / CYP inhibition: CYP1A2 CYP2D6 CYP3A4
dr:D07984,dr:D00283,P,CYP inhibition: CYP1A2 CYP3A4
dr:D07984,dr:D00293,P,CYP inhibition: CYP2C19 CYP3A4
dr:D07984,dr:D00295,P,CYP inhibition: CYP2D6
dr:D07984,dr:D00311,P,unclassified
dr:D07984,dr:D00320,P,CYP inhibition: CYP3A4
dr:D07984,dr:D00330,P,unclassified
dr:D07984,dr:D00348,P,unclassified
dr:D07984,dr:D00415,P,CYP inhibition: CYP1A2
dr:D07984,dr:D00426,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6 CYP3A4
dr:D07984,dr:D00435,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6 CYP3A4
dr:D07984,dr:D00451,P,unclassified
dr:D07984,dr:D00454,P,CYP inhibition: CYP1A2
dr:D07984,dr:D00458,P,CYP inhibition: CYP3A4
dr:D07984,dr:D00472,P,unclassified
dr:D07984,dr:D00512,P,unclassified
dr:D07984,dr:D00550,P,CYP inhibition: CYP3A4
dr:D07984,dr:D00563,P,Enzyme: CYP2D6 / CYP inhibition: CYP1A2 CYP2D6 CYP3A4
dr:D07984,dr:D00570,"CI,P",CYP inhibition: CYP3A4
dr:D07984,dr:D00601,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6
dr:D07984,dr:D00603,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6
dr:D07984,dr:D00605,P,unclassified
dr:D07984,dr:D00606,P,CYP inhibition: CYP3A4
dr:D07984,dr:D00615,P,CYP inhibition: CYP3A4
dr:D07984,dr:D00619,P,CYP inhibition: CYP3A4
dr:D07984,dr:D00661,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6 CYP3A4
dr:D07984,dr:D00670,P,CYP inhibition: CYP3A4
dr:D07984,dr:D00674,P,Enzyme: CYP2D6 / CYP inhibition: CYP1A2 CYP2D6 CYP3A4
dr:D07984,dr:D00675,P,unclassified
dr:D07984,dr:D00676,P,unclassified
dr:D07984,dr:D00677,P,CYP inhibition: CYP3A4
dr:D07984,dr:D00678,P,Enzyme: CYP2D6 / CYP inhibition: CYP1A2 CYP2D6 CYP3A4
dr:D07984,dr:D00687,P,CYP inhibition: CYP3A4
dr:D07984,dr:D00722,P,CYP inhibition: CYP3A4
dr:D07984,dr:D00754,P,unclassified
dr:D07984,dr:D00769,P,CYP inhibition: CYP1A2 CYP2C19
