cve_id,matchCriteriaId,criteria
CVE-2002-1569,01EA37BA-1583-4B74-8578-8ED3DAC7E28E,cpe:2.3:a:ghostview:ghostview:1.5:*:*:*:*:*:*:*
CVE-2002-1569,0FE2C974-BC5F-4D18-8B56-6E76CFC8237F,cpe:2.3:a:gv:gv:3.1.6:*:*:*:*:*:*:*
CVE-2002-1569,185BFE23-5F13-45A1-B514-21957A613799,cpe:2.3:a:gv:gv:3.5.8:*:*:*:*:*:*:*
CVE-2002-1569,21635C49-6F67-4852-A34B-6CA758D92F48,cpe:2.3:a:gv:gv:2.7.6:*:*:*:*:*:*:*
CVE-2002-1569,3A29A154-2CF6-441B-8715-84F49F21A15A,cpe:2.3:a:gv:gv:3.5.3:*:*:*:*:*:*:*
CVE-2002-1569,4655CA87-E507-4FAF-A848-C502BE8564FD,cpe:2.3:a:gv:gv:3.4.3:*:*:*:*:*:*:*
CVE-2002-1569,621BAE10-276D-44DA-A124-51D4A00E7552,cpe:2.3:a:gv:gv:3.2.4:*:*:*:*:*:*:*
CVE-2002-1569,6A2C2C2E-227C-477A-8E6B-D82C941A778F,cpe:2.3:a:gv:gv:2.7b4:*:*:*:*:*:*:*
CVE-2002-1569,7D3AC6EB-BEE8-404E-ABEE-3FCE9A9DEE36,cpe:2.3:a:ghostview:ghostview:1.4.1:*:*:*:*:*:*:*
CVE-2002-1569,81853A68-8286-4159-87FC-91CE94484DDE,cpe:2.3:a:gv:gv:2.7b3:*:*:*:*:*:*:*
CVE-2002-1569,8F698620-41A9-4058-B3A2-68134FDEACD0,cpe:2.3:a:gv:gv:3.0.4:*:*:*:*:*:*:*
CVE-2002-1569,9775BB2D-B945-4533-BBA7-2602CD4B2C0B,cpe:2.3:a:gv:gv:3.1.4:*:*:*:*:*:*:*
CVE-2002-1569,9B0FE26D-8B0B-4620-BC5B-6C0E0D635FA5,cpe:2.3:a:gv:gv:2.7b5:*:*:*:*:*:*:*
